u1;u2;Cost
0,741053062;0,941042612;0,509608837
0,782382569;0,832763318;0,323233254
0,794931977;0,8002207;0,272837624
0,80371722;0,78440401;0,251775681
0,809128135;0,777126933;0,239581154
0,814086356;0,77378814;0,231885479
0,818918702;0,772428217;0,226415273
0,82367198;0,772399539;0,222344294
0,828279149;0,773147587;0,219086785
0,832688787;0,774387229;0,21638947
0,836876977;0,775923299;0,214100097
0,84084122;0,777630771;0,212126852
0,844591196;0,779425672;0,210407496
0,848142625;0,781250892;0,208897011
0,851513475;0,783067295;0,207561206
0,854721868;0,784848185;0,206373247
0,85778502;0,786575696;0,205311581
0,86071876;0,788238309;0,204358617
0,863537386;0,789829092;0,203499813
0,86625368;0,791344403;0,202723046
0,868879013;0,792782936;0,202018124
0,871423469;0,794144996;0,201376433
0,873895995;0,795431968;0,200790642
0,876304531;0,796645921;0,200254487
0,878656132;0,797789319;0,19976258
0,880957083;0,798864821;0,199310266
0,88321299;0,799875134;0,198893499
0,885428867;0,800822925;0,198508747
0,887609204;0,801710756;0,198152905
0,889758035;0,802541052;0,197823233
0,891878984;0,803316085;0,197517299
0,893975312;0,804037962;0,197232934
0,89604996;0,804708639;0,196968193
0,89810558;0,805329918;0,196721325
0,900144561;0,805903468;0,196490747
0,902169062;0,80643083;0,196275024
0,904181025;0,806913435;0,196072847
0,906182202;0,807352615;0,19588302
0,908174169;0,807749617;0,195704451
0,91015834;0,808105613;0,195536132
0,912135982;0,808421711;0,195377141
0,91410823;0,808698964;0,195226625
0,916076091;0,808938381;0,195083799
0,91804046;0,80914093;0,194947937
0,920002127;0,809307549;0,194818369
0,921961784;0,80943915;0,194694475
0,923920037;0,809536621;0,194575684
0,925877406;0,809600835;0,194461468
0,927834339;0,809632648;0,194351338
0,929791212;0,809632905;0,194244844
0,93174834;0,809602444;0,194141573
0,933705975;0,80954209;0,194041143
0,935664321;0,809452665;0,193943203
0,937623529;0,809334985;0,193847435
0,939583708;0,809189858;0,193753543
0,941544923;0,809018089;0,193661261
0,943507207;0,808820477;0,193570345
0,945470557;0,808597815;0,193480574
0,94743494;0,808350892;0,193391749
0,949400297;0,808080488;0,19330369
0,951366546;0,807787379;0,193216236
0,953333583;0,807472331;0,193129244
0,955301286;0,807136103;0,193042585
0,957269517;0,806779444;0,192956148
0,959238124;0,806403094;0,192869835
0,961206943;0,806007783;0,192783559
0,963175801;0,805594227;0,192697248
0,965144516;0,805163132;0,192610839
0,9671129;0,804715192;0,19252428
0,969080759;0,804251084;0,192437528
0,971047898;0,803771476;0,192350549
0,973014115;0,803277016;0,192263317
0,974979211;0,80276834;0,192175811
0,976942984;0,802246069;0,192088019
0,978905234;0,801710806;0,191999934
0,980865762;0,801163139;0,191911553
0,982824372;0,80060364;0,19182288
0,984780868;0,800032863;0,19173392
0,98673506;0,799451345;0,191644683
0,988686762;0,798859609;0,191555185
0,990635791;0,798258158;0,191465439
0,992581969;0,797647479;0,191375466
0,994525124;0,797028044;0,191285284
0,996465088;0,796400306;0,191194918
0,998401698;0,795764702;0,191104389
1,0003348;0,795121653;0,191013723
1,002264242;0,794471565;0,190922946
1,004189879;0,793814828;0,190832082
1,006111574;0,793151814;0,19074116
1,008029194;0,792482882;0,190650205
1,009942611;0,791808376;0,190559245
1,011851706;0,791128625;0,190468305
1,013756364;0,790443943;0,190377414
1,015656477;0,789754633;0,190286597
1,017551941;0,789060982;0,19019588
1,019442659;0,788363264;0,190105287
1,02132854;0,787661742;0,190014845
1,023209499;0,786956665;0,189924577
1,025085454;0,786248272;0,189834506
1,026956331;0,785536789;0,189744655
1,028822059;0,784822432;0,189655045
1,030682573;0,784105405;0,189565699
1,032537813;0,783385904;0,189476635
1,034387724;0,782664113;0,189387874
1,036232254;0,781940208;0,189299433
1,038071358;0,781214355;0,189211331
1,039904992;0,780486712;0,189123583
1,041733119;0,779757429;0,189036207
1,043555704;0,779026646;0,188949216
1,045372716;0,778294497;0,188862624
1,04718413;0,77756111;0,188776446
1,04898992;0,776826602;0,188690694
1,050790069;0,776091087;0,188605378
1,052584557;0,775354672;0,188520511
1,054373372;0,774617456;0,188436101
1,056156503;0,773879535;0,188352159
1,057933942;0,773140996;0,188268693
1,059705683;0,772401925;0,188185711
1,061471722;0,771662399;0,18810322
1,06323206;0,770922493;0,188021226
1,064986699;0,770182276;0,187939736
1,066735641;0,769441814;0,187858754
1,068478893;0,768701168;0,187778287
1,070216463;0,767960395;0,187698336
1,07194836;0,76721955;0,187618908
